age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
37,Self-emp-not-inc,10th,Married-civ-spouse,Other-service,Wife,Female,United-States,<=50K
53,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
27,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
63,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
46,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
23,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
25,Private,Some-college,Married-spouse-absent,Adm-clerical,Unmarried,Female,United-States,<=50K
42,Private,HS-grad,Divorced,Sales,Not-in-family,Male,United-States,<=50K
41,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,Wife,Female,United-States,>50K
35,Private,HS-grad,Divorced,Craft-repair,Unmarried,Female,United-States,<=50K
31,Private,Bachelors,Never-married,Sales,Not-in-family,Male,United-States,<=50K
33,Self-emp-not-inc,12th,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
42,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
40,Private,HS-grad,Divorced,Craft-repair,Unmarried,Male,United-States,<=50K
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
43,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
38,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
23,Private,12th,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
28,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
28,Private,HS-grad,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
55,Private,5th-6th,Divorced,Other-service,Unmarried,Male,United-States,<=50K
43,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
57,Self-emp-not-inc,1st-4th,Married-civ-spouse,Sales,Husband,Male,Mexico,<=50K
55,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
37,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
43,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,>50K
19,Private,Some-college,Never-married,Sales,Own-child,Female,United-States,<=50K
46,Private,HS-grad,Separated,Craft-repair,Not-in-family,Male,United-States,<=50K
24,Private,Bachelors,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
44,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
68,Private,9th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
50,Private,Bachelors,Divorced,Exec-managerial,Unmarried,Female,United-States,>50K
29,Private,Assoc-voc,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
51,Private,HS-grad,Divorced,Sales,Not-in-family,Male,United-States,<=50K
23,Private,Some-college,Never-married,Other-service,Own-child,Male,United-States,<=50K
30,Private,Bachelors,Never-married,Sales,Own-child,Male,United-States,<=50K
27,Private,Assoc-acdm,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
39,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
28,Private,11th,Never-married,Machine-op-inspct,Unmarried,Female,Nicaragua,<=50K
36,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
60,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
22,Private,HS-grad,Divorced,Other-service,Own-child,Female,United-States,<=50K
22,Private,HS-grad,Never-married,Exec-managerial,Own-child,Female,United-States,<=50K
23,Private,HS-grad,Never-married,Other-service,Own-child,Male,United-States,<=50K
39,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
25,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
46,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
57,Private,Assoc-acdm,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
22,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Own-child,Female,Haiti,<=50K
52,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
42,State-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
39,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
27,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
69,Private,11th,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
20,Private,HS-grad,Never-married,Farming-fishing,Own-child,Male,United-States,<=50K
40,Private,11th,Separated,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
45,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,Male,United-States,<=50K
21,Private,Some-college,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
31,Private,Assoc-voc,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
24,Private,Masters,Never-married,Prof-specialty,Own-child,Female,United-States,<=50K
40,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
49,Private,Masters,Married-spouse-absent,Protective-serv,Not-in-family,Male,India,<=50K
51,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,United-States,>50K
25,Private,Bachelors,Never-married,Exec-managerial,Own-child,Male,United-States,<=50K
21,Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
50,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
20,Private,Some-college,Never-married,Transport-moving,Own-child,Male,United-States,<=50K
21,Private,Some-college,Divorced,Sales,Not-in-family,Female,United-States,<=50K
29,Private,11th,Never-married,Craft-repair,Own-child,Male,Haiti,<=50K
22,State-gov,Some-college,Never-married,Protective-serv,Own-child,Female,United-States,<=50K
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
24,Private,Some-college,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
44,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
26,Private,HS-grad,Divorced,Exec-managerial,Own-child,Male,United-States,<=50K
28,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Female,United-States,>50K
36,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,India,<=50K
48,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
39,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
40,Private,HS-grad,Separated,Handlers-cleaners,Unmarried,Male,United-States,<=50K
39,Private,Some-college,Divorced,Exec-managerial,Unmarried,Female,Mexico,<=50K
38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
39,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
40,State-gov,Bachelors,Never-married,Prof-specialty,Unmarried,Female,United-States,<=50K
19,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
43,State-gov,Prof-school,Divorced,Prof-specialty,Not-in-family,Male,United-States,<=50K
35,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
50,Private,Assoc-voc,Married-civ-spouse,Other-service,Wife,Female,United-States,<=50K
58,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
52,Private,Bachelors,Married-spouse-absent,Other-service,Not-in-family,Male,United-States,<=50K
33,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,>50K
38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
55,Self-emp-not-inc,Assoc-acdm,Divorced,Sales,Not-in-family,Female,United-States,<=50K
46,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,>50K
25,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
25,Private,Bachelors,Never-married,Prof-specialty,Own-child,Male,United-States,<=50K
40,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
21,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
60,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
39,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
48,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
43,Private,Some-college,Divorced,Tech-support,Unmarried,Female,United-States,<=50K
33,Private,HS-grad,Married-spouse-absent,Craft-repair,Unmarried,Male,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
22,Private,Some-college,Never-married,Craft-repair,Unmarried,Male,United-States,<=50K
44,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
52,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
18,Private,11th,Never-married,Other-service,Own-child,Female,United-States,<=50K
29,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
23,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
61,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
50,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,>50K
44,Private,Masters,Divorced,Exec-managerial,Unmarried,Male,United-States,>50K
44,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
52,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
47,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
49,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
35,Private,Bachelors,Never-married,Sales,Not-in-family,Male,United-States,>50K
32,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
34,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
29,State-gov,Bachelors,Never-married,Protective-serv,Own-child,Female,United-States,<=50K
25,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
43,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
69,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Male,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
23,Private,Some-college,Never-married,Other-service,Unmarried,Female,United-States,<=50K
44,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
24,Local-gov,10th,Never-married,Craft-repair,Unmarried,Male,Haiti,<=50K
30,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
53,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
60,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,Female,United-States,<=50K
29,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
48,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
31,Private,Assoc-acdm,Never-married,Prof-specialty,Own-child,Male,United-States,<=50K
45,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
25,Private,Bachelors,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
32,Private,HS-grad,Never-married,Other-service,Own-child,Female,United-States,<=50K
50,State-gov,HS-grad,Married-civ-spouse,Other-service,Wife,Female,United-States,<=50K
29,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
29,Self-emp-not-inc,HS-grad,Married-spouse-absent,Transport-moving,Other-relative,Male,India,>50K
27,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
43,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
48,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
31,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,South,<=50K
19,Private,12th,Separated,Prof-specialty,Own-child,Female,United-States,<=50K
28,Private,Masters,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
45,Local-gov,Bachelors,Divorced,Protective-serv,Not-in-family,Male,United-States,>50K
34,Private,Prof-school,Never-married,Tech-support,Not-in-family,Male,India,>50K
45,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Male,United-States,>50K
42,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
21,Private,Assoc-voc,Married-civ-spouse,Other-service,Other-relative,Female,Mexico,<=50K
47,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
58,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
27,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
22,Private,HS-grad,Divorced,Tech-support,Unmarried,Female,Germany,<=50K
20,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,United-States,<=50K
50,Self-emp-not-inc,HS-grad,Divorced,Prof-specialty,Not-in-family,Female,Vietnam,<=50K
38,Private,Prof-school,Married-civ-spouse,Sales,Wife,Female,United-States,<=50K
36,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
63,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
17,Private,10th,Never-married,Priv-house-serv,Other-relative,Male,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
27,Local-gov,Assoc-voc,Never-married,Tech-support,Own-child,Female,United-States,<=50K
17,Private,11th,Never-married,Sales,Own-child,Female,United-States,<=50K
52,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
48,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Wife,Female,United-States,<=50K
50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
21,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
42,Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,Male,Mexico,>50K
20,Private,HS-grad,Never-married,Other-service,Other-relative,Female,United-States,<=50K
18,Private,11th,Never-married,Exec-managerial,Own-child,Male,United-States,<=50K
45,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
29,Private,HS-grad,Never-married,Transport-moving,Own-child,Male,United-States,<=50K
31,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Female,United-States,>50K
40,Private,9th,Never-married,Machine-op-inspct,Unmarried,Female,Haiti,<=50K
28,Private,Bachelors,Never-married,Exec-managerial,Own-child,Male,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
51,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
47,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
17,Self-emp-inc,10th,Never-married,Other-service,Own-child,Male,United-States,<=50K
39,Private,HS-grad,Divorced,Other-service,Unmarried,Female,United-States,<=50K
18,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
40,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,<=50K
43,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
45,Private,Bachelors,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
53,Private,HS-grad,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
27,Private,HS-grad,Separated,Handlers-cleaners,Unmarried,Male,United-States,<=50K
19,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
40,Private,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,Male,United-States,<=50K
28,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
21,Private,11th,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
46,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
24,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
29,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
59,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
30,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,United-States,<=50K
35,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
43,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
32,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
51,Private,1st-4th,Married-civ-spouse,Other-service,Husband,Male,Mexico,<=50K
36,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
